english,japanese,example
map update,地図更新,Map update removes dynamic objects.
object instance,物体インスタンス,Each object instance is tracked separately.
static object,静的物体,Static objects are suitable for landmarks.
movable object,移動可能物体,Movable objects should be avoided as landmarks.
background object,背景物体,Background objects often remain stable.
program,プログラム,The program subscribes to image topics.
source code,ソースコード,The source code is managed with Git.
repository,リポジトリ,The repository contains the ROS 2 package.
commit,コミット,Each commit should describe one change.
pull request,プルリクエスト,A pull request is used for code review.
issue,課題,We opened an issue for the bug.
bug,バグ,The bug caused the node to crash.
debugging,デバッグ,Debugging helped identify the error.
log,ログ,The log shows the error message.
warning,警告,The warning does not stop execution.
exception,例外,The exception occurred during inference.
stack trace,スタックトレース,The stack trace shows where the error occurred.
command line,コマンドライン,The command line is used to run the script.
terminal,ターミナル,The terminal displays detection results.
script,スクリプト,The script processes video frames.
function,関数,The function returns detected boxes.
class definition,クラス定義,The class definition contains node behavior.
module,モジュール,The module is imported by the main script.
library,ライブラリ,The library provides image processing functions.
framework,フレームワーク,The framework simplifies deep learning development.
API,API,The API is used to load the model.
configuration,設定,The configuration controls model behavior.
setting,設定,The setting can be changed from the launch file.
option,オプション,The option enables GPU inference.
argument,引数,The argument specifies the input file.
path,パス,The path points to the dataset folder.
directory,ディレクトリ,The directory contains training images.
file,ファイル,The file stores annotation labels.
format,形式,The label format must be correct.
installation,インストール,Installation requires several dependencies.
version,バージョン,The library version affects compatibility.
compatibility,互換性,Compatibility with CUDA is important.
environment,環境,The environment uses Ubuntu and CUDA.
virtual environment,仮想環境,A virtual environment isolates Python packages.
container,コンテナ,A Docker container provides a reproducible environment.
Docker image,Dockerイメージ,The Docker image includes CUDA libraries.
compile,コンパイルする,The C++ code must compile without errors.
runtime,実行時,The runtime error occurred during model loading.
execution,実行,Execution starts from the main function.
deployment,デプロイ,Deployment on the robot requires optimization.
GPU,GPU,The GPU accelerates inference.
CPU,CPU,CPU inference is slower than GPU inference.
CUDA,CUDA,CUDA enables GPU computation.
cuDNN,cuDNN,cuDNN is required for some deep learning libraries.
driver,ドライバ,The NVIDIA driver must match the CUDA version.
memory,メモリ,GPU memory limits model size.
simulation,シミュレーション,Simulation allows testing before real experiments.
Gazebo,Gazebo,Gazebo simulates the robot and environment.
world file,ワールドファイル,The world file defines the simulation environment.
SDF,SDF,SDF describes models and worlds in Gazebo.
model file,モデルファイル,The model file defines object geometry.
mesh,メッシュ,The mesh is used for robot visualization.
collision,衝突,Collision geometry is used for physics simulation.
inertia,慣性,Inertia affects physical behavior.
joint,関節,The joint connects two links.
link,リンク,A link represents a rigid body.
spawn,生成する,We spawn the robot in Gazebo.
entity,エンティティ,The robot is an entity in the simulation.
plugin,プラグイン,The plugin connects Gazebo and ROS 2.
physics engine,物理エンジン,The physics engine simulates motion.
model state,モデル状態,Model state includes pose and velocity.
velocity,速度,Velocity is estimated from odometry.
acceleration,加速度,Acceleration is measured by the IMU.
friction,摩擦,Friction affects wheel motion.
gravity,重力,Gravity is simulated by the physics engine.
sensor plugin,センサプラグイン,The sensor plugin publishes simulated data.
paper,論文,This paper proposes a new SLAM method.
abstract,概要,The abstract summarizes the paper.
introduction,序論,The introduction explains the motivation.
literature review,文献レビュー,The literature review summarizes previous studies.
proposed method,提案手法,The proposed method uses object level landmarks.
experiment section,実験章,The experiment section describes the evaluation setup.
ablation study,アブレーション実験,The ablation study evaluates each component.
dataset description,データセット説明,The dataset description includes sensor settings.
implementation detail,実装詳細,Implementation details are described in this section.
result table,結果表,The result table compares several methods.
figure,図,Figure 3 shows the network architecture.
table,表,Table 1 reports the evaluation metrics.
equation,式,The equation defines the loss function.
notation,記法,The notation is introduced before the method.
variable,変数,The variable represents the robot state.
term,項,Each term in the loss has a weight.
loss term,損失項,The loss term penalizes box error.
hyperparameter,ハイパーパラメータ,Hyperparameters are selected using validation data.
architecture,構成,The architecture consists of a backbone and decoder.
pipeline,パイプライン,The pipeline processes sensor data step by step.
component,構成要素,The component can be replaced with another model.
input,入力,The input is an RGB image.
output,出力,The output is a set of bounding boxes.
formulation,定式化,The formulation describes the problem mathematically.
objective function,目的関数,The objective function is minimized during training.
optimization problem,最適化問題,Localization can be formulated as an optimization problem.
constraint,制約,The constraint limits the possible solutions.
dataset split,データセット分割,The dataset split separates training and testing data.
experimental setup,実験設定,The experimental setup is described in detail.
quantitative result,定量的結果,Quantitative results are shown in the table.
qualitative result,定性的結果,Qualitative results are shown in the images.
visual result,視覚的結果,Visual results help explain detection quality.
failure case,失敗例,Failure cases occur under low light conditions.
discussion section,考察章,The discussion section explains the meaning of the results.
conclusion section,結論章,The conclusion section summarizes the contributions.
reference,参考文献,The reference list includes related papers.
citation,引用,Citation is necessary when using previous work.
author,著者,The author proposed a new method.
conference,会議,The paper was published at a robotics conference.
journal,ジャーナル,The journal article provides detailed experiments.
reviewer,査読者,The reviewer asked about the evaluation protocol.
supplementary material,補足資料,Supplementary material contains additional results.
reproducibility,再現性,Reproducibility is important for research.
open source,オープンソース,The code is available as open source.
license,ライセンス,The license defines how the dataset can be used.
Could you explain,説明していただけますか,Could you explain the difference between these methods?
Could you clarify,明確にしていただけますか,Could you clarify the evaluation setting?
What do you mean by,何を意味していますか,What do you mean by robust landmark?
How did you,どのようにしましたか,How did you collect the dataset?
Why did you,なぜしましたか,Why did you choose YOLO for this task?
What is the difference,違いは何ですか,What is the difference between tree and trunk detection?
In your experiment,あなたの実験では,"In your experiment, how many images did you use?"
According to the result,結果によると,"According to the result, the proposed method is faster."
As shown in the figure,図に示すように,"As shown in the figure, the detector finds the trunk."
Compared with,と比較して,"Compared with the baseline, our method is more accurate."
In this case,この場合,"In this case, the LiDAR data is noisy."
For example,例えば,"For example, a pole can be used as a landmark."
On the other hand,一方で,"On the other hand, small objects are difficult to detect."
However,しかし,"However, the method fails at night."
Therefore,したがって,"Therefore, we need more training data."
Moreover,さらに,"Moreover, the model runs in real time."
In addition,加えて,"In addition, we evaluate the method in simulation."
First,最初に,"First, we describe the system overview."
Next,次に,"Next, we explain the dataset."
Finally,最後に,"Finally, we discuss future work."
In conclusion,結論として,"In conclusion, the proposed method improves robustness."
This means that,これはつまり,This means that trunk detection is more stable.
The reason is that,その理由は,The reason is that tree regions overlap.
It depends on,に依存する,It depends on the dataset quality.
I think that,私はと考えます,I think that sensor fusion is necessary.
I would like to ask,質問したいです,I would like to ask about the evaluation metric.
I am not sure,確信がありません,I am not sure why the result decreased.
Could you repeat that,もう一度言っていただけますか,Could you repeat that question?
Could you speak more slowly,もう少しゆっくり話していただけますか,"Could you speak more slowly, please?"
Let me check,確認します,Let me check the result slide.
Let me explain,説明します,Let me explain the pipeline again.
That is a good point,良い指摘です,That is a good point.
I agree,同意します,I agree with your suggestion.
I see,わかりました,"I see, thank you for the explanation."
Thank you for your feedback,フィードバックありがとうございます,Thank you for your feedback.
I will consider it,検討します,I will consider it in future work.
requirement,要件,The system requirement is real time detection.
specification,仕様,The specification defines the input and output.
condition,条件,The experiment was performed under different conditions.
scenario,シナリオ,The scenario includes outdoor navigation.
indoor,屋内,Indoor environments have stable lighting.
outdoor,屋外,Outdoor environments are more challenging.
campus,キャンパス,The robot is tested on a campus path.
orchard,果樹園,The previous study used an orchard environment.
road,道路,Road surface affects wheel odometry.
sidewalk,歩道,The sidewalk contains many possible landmarks.
building,建物,Building corners can be stable landmarks.
tree trunk,木の幹,Tree trunk detection is useful for orchard navigation.
landmark candidate,ランドマーク候補,Each detected object becomes a landmark candidate.
selection,選択,Landmark selection removes unstable objects.
verification,検証,LiDAR verification reduces false detections.
candidate,候補,The candidate is evaluated by geometry.
staticness,静的性質,Staticness is important for landmark reliability.
distinctiveness,識別しやすさ,Distinctiveness helps recognize the same object again.
repeatability,再現性,Repeatability is important for feature detection.
visibility,視認性,Visibility decreases under occlusion.
availability,利用可能性,Availability depends on the environment.
robust feature,頑健な特徴,A robust feature can be detected repeatedly.
local feature descriptor,局所特徴記述子,A local feature descriptor is used for matching.
semantic information,意味情報,Semantic information helps select landmarks.
geometric information,幾何情報,Geometric information is obtained from LiDAR.
appearance,見た目,Object appearance changes with lighting.
texture,テクスチャ,Texture is useful for image matching.
material,材質,Material affects LiDAR reflectance.
surface normal,表面法線,Surface normal is estimated from neighboring points.
curvature,曲率,Curvature describes local surface shape.
density,密度,Point density affects clustering.
radius,半径,The radius is estimated for cylindrical objects.
diameter,直径,The diameter of the trunk is measured from the point cloud.
height estimation,高さ推定,Height estimation helps distinguish poles and trunks.
width estimation,幅推定,Width estimation is based on image boxes.
distance estimation,距離推定,Distance estimation combines camera and LiDAR.
object position,物体位置,Object position is transformed into the map frame.
object class,物体クラス,Object class is predicted by the detector.
object mask,物体マスク,The object mask is used to crop the region.
object center,物体中心,The object center is used as a landmark position.
duplicate removal,重複除去,Duplicate removal prevents repeated landmarks.
map representation,地図表現,The map representation stores landmark positions.
landmark map,ランドマーク地図,The landmark map contains semantic objects.
semantic map,意味地図,A semantic map includes object labels.
topological map,トポロジカル地図,A topological map represents places and connections.
metric map,メトリック地図,A metric map stores geometric distances.
local coordinate,局所座標,Local coordinates are relative to the robot.
global coordinate,大域座標,Global coordinates are represented in the map frame.
pose estimation,姿勢推定,Pose estimation uses landmark observations.
state estimation,状態推定,State estimation combines prediction and measurement.
motion model,運動モデル,The motion model predicts the next state.
observation model,観測モデル,The observation model relates landmarks to measurements.
measurement update,観測更新,The measurement update corrects the predicted state.
prediction step,予測ステップ,The prediction step uses odometry.
update step,更新ステップ,The update step uses sensor observations.
state vector,状態ベクトル,The state vector contains pose and landmark positions.
control input,制御入力,The control input represents robot motion commands.
covariance matrix,共分散行列,The covariance matrix represents uncertainty.
Jacobian,ヤコビアン,The Jacobian linearizes nonlinear functions.
nonlinear system,非線形システム,Robot motion is a nonlinear system.
linearization,線形化,Linearization approximates nonlinear functions.
optimization,最適化,Optimization minimizes the error function.
least squares,最小二乗法,Least squares is used for fitting models.
RANSAC,RANSAC,RANSAC removes outliers during model fitting.
ICP,ICP,ICP aligns two point clouds.
NDT,NDT,NDT is a point cloud registration method.
DBSCAN,DBSCAN,DBSCAN clusters points based on density.
Euclidean clustering,ユークリッドクラスタリング,Euclidean clustering groups nearby points.
cylinder fitting,円柱フィッティング,Cylinder fitting estimates trunk shape.
plane fitting,平面フィッティング,Plane fitting detects walls and ground.
ground plane,地面平面,The ground plane is removed before clustering.
segmented region,分割領域,The segmented region corresponds to an object.
candidate extraction,候補抽出,Candidate extraction finds possible landmarks.
feature extraction,特徴抽出,Feature extraction is applied to the point cloud.
feature matching,特徴照合,Feature matching associates current observations with map landmarks.
data preprocessing,データ前処理,Data preprocessing removes noise and invalid points.
data cleaning,データクリーニング,Data cleaning improves dataset quality.
data collection,データ収集,Data collection was performed on campus.
data labeling,データラベリング,Data labeling is necessary for supervised learning.
quality control,品質管理,Quality control checks annotation errors.
annotation guideline,アノテーション指針,An annotation guideline keeps labels consistent.
label consistency,ラベルの一貫性,Label consistency improves training quality.
ambiguous case,曖昧なケース,Ambiguous cases should be discussed before labeling.
edge case,例外的なケース,Edge cases often cause failures.
lighting condition,照明条件,Lighting conditions affect image quality.
weather condition,天候条件,Weather conditions affect sensor measurements.
nighttime,夜間,Nighttime detection is more difficult.
daytime,昼間,Daytime images have better visibility.
rain,雨,Rain can reduce LiDAR reliability.
fog,霧,Fog affects camera and LiDAR sensing.
sunlight,日光,Strong sunlight may cause overexposure.
overexposure,露出オーバー,Overexposure hides image details.
underexposure,露出不足,Underexposure occurs in dark scenes.
reflection,反射,Reflection can cause false LiDAR points.
occluded object,遮蔽された物体,An occluded object is difficult to detect.
partially visible,部分的に見える,The trunk is partially visible behind leaves.
background clutter,背景のごちゃつき,Background clutter causes false detections.
crowded scene,混雑したシーン,Crowded scenes are difficult for detection.
domain shift,ドメインシフト,Domain shift occurs between training and test environments.
domain adaptation,ドメイン適応,Domain adaptation improves performance in new environments.
simulation to real,シミュレーションから実環境へ,Simulation to real transfer is challenging.
real world experiment,実環境実験,Real world experiments are necessary for validation.
field test,実地試験,A field test was conducted outdoors.
experimental trial,実験試行,Each experimental trial follows the same route.
route,経路,The robot route includes trees and buildings.
repeat experiment,再実験,We repeat experiments to check stability.
statistical analysis,統計分析,Statistical analysis supports the conclusion.
average,平均,The average error is reported in the table.
standard deviation,標準偏差,Standard deviation shows result variation.
median,中央値,The median is robust to outliers.
minimum,最小値,The minimum error occurred in the first trial.
maximum,最大値,The maximum error occurred in a difficult scene.
distribution,分布,The error distribution is shown in the histogram.
histogram,ヒストグラム,The histogram shows the frequency of errors.
graph,グラフ,The graph compares accuracy and speed.
plot,プロット,The plot shows trajectory error over time.
axis,軸,The x axis represents time.
legend,凡例,The legend explains each line.
caption,キャプション,The caption describes the figure.
table row,表の行,Each table row represents one method.
table column,表の列,Each table column represents one metric.
parameter tuning,パラメータ調整,Parameter tuning improves performance.
sensitivity analysis,感度分析,Sensitivity analysis shows the effect of parameters.
ablation,アブレーション,Ablation removes one component to evaluate its effect.
component analysis,構成要素分析,Component analysis identifies important modules.
error analysis,誤差分析,Error analysis reveals failure patterns.
qualitative analysis,定性的分析,Qualitative analysis uses visual examples.
quantitative analysis,定量的分析,Quantitative analysis uses numerical metrics.
realtime constraint,リアルタイム制約,Realtime constraints limit model complexity.
edge device,エッジデバイス,An edge device has limited computational resources.
embedded system,組込みシステム,An embedded system runs on the robot.
Jetson,Jetson,Jetson is often used for robot perception.
hardware limitation,ハードウェア制約,Hardware limitations affect model choice.
software stack,ソフトウェア構成,The software stack includes ROS 2 and CUDA.
middleware layer,ミドルウェア層,The middleware layer handles communication.
perception module,認識モジュール,The perception module detects landmarks.
mapping module,地図生成モジュール,The mapping module updates the landmark map.
planning module,計画モジュール,The planning module generates a path.
control module,制御モジュール,The control module sends velocity commands.
system architecture,システム構成,The system architecture is shown in the overview slide.
end to end,エンドツーエンド,The end to end system runs from sensing to navigation.
modular design,モジュール設計,Modular design makes debugging easier.
input stream,入力ストリーム,The input stream is the camera image topic.
output topic,出力トピック,The output topic publishes detection results.
parameter server,パラメータサーバ,The parameter server stores configuration values.
configuration parameter,設定パラメータ,Configuration parameters are loaded at startup.
log file,ログファイル,The log file records runtime information.
experiment log,実験ログ,Experiment logs help reproduce results.
dataset folder,データセットフォルダ,The dataset folder contains images and labels.
training script,学習スクリプト,The training script starts fine tuning.
inference script,推論スクリプト,The inference script processes test images.
evaluation script,評価スクリプト,The evaluation script computes metrics.
checkpoint file,チェックポイントファイル,The checkpoint file stores trained weights.
model weights,モデル重み,Model weights are loaded before inference.
pretrained weights,事前学習済み重み,Pretrained weights improve convergence.
convergence,収束,Training convergence was stable.
gradient,勾配,Gradients are used to update weights.
backpropagation,誤差逆伝播,Backpropagation computes gradients.
loss curve,損失曲線,The loss curve shows training progress.
validation curve,検証曲線,The validation curve indicates overfitting.
training progress,学習進捗,Training progress is monitored with logs.
learning schedule,学習スケジュール,The learning schedule changes the learning rate.
early stopping,早期終了,Early stopping prevents overfitting.
checkpoint selection,チェックポイント選択,Checkpoint selection is based on validation score.
model comparison,モデル比較,Model comparison helps choose the best detector.
fair comparison,公平な比較,Fair comparison requires the same hardware and dataset.
same condition,同一条件,The models were evaluated under the same condition.
hardware setup,ハードウェア構成,The hardware setup includes a GPU and camera.
software version,ソフトウェアバージョン,Software versions are listed for reproducibility.
reproducible experiment,再現可能な実験,A reproducible experiment needs clear settings.
experimental protocol,実験手順,The experimental protocol defines how tests are conducted.
evaluation protocol,評価手順,The evaluation protocol defines the metrics and dataset.
implementation issue,実装上の問題,An implementation issue caused slow inference.
compatibility issue,互換性の問題,A compatibility issue occurred with CUDA.
dependency issue,依存関係の問題,The dependency issue was fixed by changing versions.
runtime warning,実行時警告,Runtime warnings appeared during inference.
error message,エラーメッセージ,The error message indicated a missing file.
file path,ファイルパス,The file path must be correct.
absolute path,絶対パス,An absolute path starts from the root directory.
relative path,相対パス,A relative path depends on the current directory.
current directory,現在のディレクトリ,The current directory affects file loading.
permission,権限,Permission is required to access the device.
administrator privilege,管理者権限,Administrator privilege may be required for installation.
installation guide,インストール手順,The installation guide explains each step.
troubleshooting,トラブルシューティング,Troubleshooting identifies the cause of errors.
workaround,回避策,A workaround was used to avoid the compatibility problem.
solution,解決策,The solution is to install the correct library version.
remaining issue,残っている問題,The remaining issue is real time performance.
next step,次のステップ,The next step is collecting more trunk images.
milestone,マイルストーン,The milestone is to run the system on the robot.
schedule,スケジュール,The schedule includes dataset creation and training.
deadline,締め切り,The deadline for the presentation is next week.
task,タスク,The task is to improve trunk detection.
subtask,サブタスク,Each subtask is assigned to one module.
priority,優先度,The highest priority is dataset quality.
progress,進捗,Progress was made on the ROS 2 implementation.
status,状態,The current status is under evaluation.
completed,完了した,The face detection module is completed.
in progress,進行中,Dataset annotation is in progress.
pending,保留中,The outdoor experiment is still pending.
issue list,課題一覧,The issue list is shown at the end.
risk,リスク,The main risk is insufficient training data.
backup plan,代替案,The backup plan is to use semi automatic annotation.
deliverable,成果物,The deliverable is a trained trunk detector.
prototype,試作版,The prototype runs on recorded video.
demo,デモ,The demo shows real time detection.
demonstration,実演,The demonstration uses a campus video.
user interface,ユーザーインターフェース,The user interface displays detection results.
visual feedback,視覚的フィードバック,Visual feedback helps check model output.
terminal output,ターミナル出力,The terminal output shows class names and scores.
saved image,保存画像,The saved image contains bounding boxes.
output video,出力動画,The output video shows detection results.
result folder,結果フォルダ,The result folder stores annotated images.
experiment folder,実験フォルダ,The experiment folder contains logs and outputs.
documentation,ドキュメント,Documentation explains how to run the package.
README file,READMEファイル,The README file describes installation steps.
tutorial,チュートリアル,The tutorial explains how to train the model.
manual,マニュアル,The manual describes the labeling procedure.
reference implementation,参考実装,The reference implementation helps understand the method.
sample code,サンプルコード,Sample code is used for quick testing.
minimum example,最小例,A minimum example helps isolate the problem.
test case,テストケース,The test case checks the function behavior.
unit test,単体テスト,A unit test checks one function.
integration test,結合テスト,An integration test checks multiple modules together.
system test,システムテスト,A system test evaluates the full pipeline.
validation test,検証テスト,Validation tests check whether requirements are met.
deployment test,デプロイテスト,Deployment tests run the system on the robot.
real robot,実ロボット,The real robot test is planned next.
simulation experiment,シミュレーション実験,The simulation experiment uses Gazebo.
recorded data,記録データ,Recorded data is used for offline evaluation.
live data,リアルタイムデータ,Live data is processed during robot operation.
camera image topic,カメラ画像トピック,The camera image topic provides input frames.
LiDAR point cloud topic,LiDAR点群トピック,The LiDAR point cloud topic provides 3D data.
detection result topic,検出結果トピック,The detection result topic publishes boxes and labels.
map topic,地図トピック,The map topic publishes the occupancy grid.
robot pose topic,ロボット姿勢トピック,The robot pose topic publishes estimated pose.
velocity command,速度指令,The velocity command controls robot motion.
control loop,制御ループ,The control loop runs at a fixed frequency.
update rate,更新周期,The update rate affects responsiveness.
queue size,キューサイズ,Queue size controls message buffering.
communication delay,通信遅延,Communication delay affects real time performance.
packet loss,パケットロス,Packet loss can occur in wireless communication.
data stream,データストリーム,The data stream is processed continuously.
safety,安全性,Safety is important for robot experiments.
emergency stop,緊急停止,An emergency stop is required for real robot tests.
collision avoidance,衝突回避,Collision avoidance prevents accidents.
human detection,人物検出,Human detection improves safety.
face detection,顔検出,Face detection finds faces in panoramic images.
face recognition,顔認識,Face recognition identifies known people.
person detection,人物検出,Person detection is used for human robot interaction.
speech recognition,音声認識,Speech recognition converts speech to text.
dialogue system,対話システム,The dialogue system generates responses.
voice command,音声コマンド,The robot receives voice commands.
natural language processing,自然言語処理,Natural language processing is used for dialogue.
text recognition,文字認識,Text recognition detects words on signs.
OCR,OCR,OCR can read wall text and signboards.
multimodal,マルチモーダル,A multimodal system uses multiple types of data.
camera LiDAR fusion,カメラLiDAR融合,Camera LiDAR fusion improves landmark detection.
semantic SLAM,セマンティックSLAM,Semantic SLAM uses object labels in mapping.
object level mapping,物体レベル地図生成,Object level mapping stores landmarks as objects.
long term mapping,長期地図生成,Long term mapping must handle environmental changes.
map maintenance,地図保守,Map maintenance removes outdated objects.
environmental change,環境変化,Environmental change affects long term localization.
seasonal change,季節変化,Seasonal change affects tree appearance.
viewpoint change,視点変化,Viewpoint change affects object recognition.
appearance change,見た目の変化,Appearance change occurs under different lighting.
sensor placement,センサ配置,Sensor placement affects field of view.
mounting position,取り付け位置,The mounting position is calibrated before experiments.
robot platform,ロボットプラットフォーム,The robot platform carries the sensors.
wheelchair robot,車椅子型ロボット,A wheelchair robot moves in human environments.
differential drive,差動二輪駆動,Differential drive robots control left and right wheels.
mobile base,移動台車,The mobile base carries the perception system.
actuator,アクチュエータ,Actuators move the robot.
motor,モータ,Motors drive the wheels.
battery,バッテリー,Battery capacity limits experiment time.
power supply,電源,The power supply must support the sensors.
network connection,ネットワーク接続,Network connection is needed for remote operation.
remote control,遠隔操作,Remote control is used during testing.
data recording,データ記録,Data recording saves sensor topics.
data replay,データ再生,Data replay allows repeated evaluation.
visual inspection,目視確認,Visual inspection checks annotation quality.
manual labeling,手動ラベリング,Manual labeling is accurate but time consuming.
semi automatic labeling,半自動ラベリング,Semi automatic labeling reduces annotation effort.
automatic labeling,自動ラベリング,Automatic labeling uses a model to create labels.
human verification,人による確認,Human verification is needed after automatic labeling.
annotation error,アノテーション誤り,Annotation errors reduce training quality.
label noise,ラベルノイズ,Label noise causes unstable training.
dataset quality,データセット品質,Dataset quality is more important than model size.
training quality,学習品質,Training quality depends on labels and settings.
evaluation quality,評価品質,Evaluation quality depends on test data design.
research plan,研究計画,The research plan includes three phases.
experimental plan,実験計画,The experimental plan defines the route and conditions.
implementation plan,実装計画,The implementation plan starts with the ROS 2 node.
development plan,開発計画,The development plan prioritizes data collection.
presentation practice,発表練習,Presentation practice helps explain the method clearly.
technical term,専門用語,Technical terms should be defined in the presentation.
plain explanation,平易な説明,A plain explanation helps the audience understand.
research question,研究課題,The research question is how to select reliable landmarks.
problem setting,問題設定,The problem setting defines inputs and outputs.
scope,範囲,The scope is limited to outdoor environments.
target object,対象物体,The target object is the tree trunk.
target environment,対象環境,The target environment is an outdoor campus.
target application,対象アプリケーション,The target application is autonomous navigation.
practical application,実用的応用,Practical applications include delivery robots.
social implementation,社会実装,Social implementation requires safety and reliability.
research direction,研究方針,The research direction is semantic landmark SLAM.
technical contribution,技術的貢献,The technical contribution is robust landmark selection.
experimental contribution,実験的貢献,The experimental contribution is real world validation.
academic contribution,学術的貢献,The academic contribution is a new mapping approach.
